language,benchmark,size,time_ms
Python,Pauli-X,1000,2.939343199614086
Python,Pauli-X,10000,16.048197200507275
Python,Pauli-X,100000,155.57947299967054
Python,Hadamard,1000,1.0398967999208253
Python,Hadamard,10000,9.082887600015965
Python,Hadamard,100000,62.78459280038078
Python,Fidelity,1000,2.021279999462422
Python,Fidelity,10000,8.110571399447508
Python,Fidelity,100000,81.16138780023903
Python,Bell State,1000,1.4461787995969644
Python,Bell State,10000,14.437719000125071
Python,Bell State,100000,144.4236962004652
