language,benchmark,size,time_ms
Rust,Pauli-X,1000,0.004677834678450672
Rust,Pauli-X,10000,0.04661622689511701
Rust,Pauli-X,100000,0.46699865991493816
Rust,Hadamard,1000,0.005412647073659423
Rust,Hadamard,10000,0.0513517268657033
Rust,Hadamard,100000,0.5194506531808583
Rust,Fidelity,1000,0.002379642186521402
Rust,Fidelity,10000,0.023677711419586526
Rust,Fidelity,100000,0.23773619268058915
Rust,Bell State,1000,0.009958487779872759
Rust,Bell State,10000,0.09943626934772934
Rust,Bell State,100000,0.9933208482230684
